year,days,cov_tmean,cov_precp,cov_sunshine,cov_soil0cm,tmean,tmax_mean,tmin_mean,dtr,gdd10,gdd10_doy100,gdd10_doy200,warm_season_start_doy,warm_season_end_doy,warm_season_length,chill_days_tmin10,cold_days_tmean12,last_cold_day_doy,summer_days_tmax30,hot_nights_tmin25,precp_total,rain_days_01,rain_days_1,rain_days_10,rain_days_50,rx1day,rx5day,sdii,max_dry_spell,precp_wet_season,precp_dry_season,sunshine_total,sunshine_daily_mean,ws_mean,tsoil0_mean
2017,365,0.995,1.000,0.000,0.000,20.514,25.148,17.496,7.652,3822.650,15.000,39.000,105.000,294.000,189.000,33.000,24.000,119.000,116.000,3.000,3123.000,187.000,168.000,87.000,13.000,197.000,558.000,18.533,19.000,1587.000,1536.000,,,1.225,
2018,365,1.000,1.000,0.000,0.000,20.612,25.707,17.485,8.223,3898.000,21.000,51.000,87.000,300.000,213.000,33.000,24.000,98.000,122.000,2.000,2849.000,193.000,165.000,82.000,14.000,114.500,329.000,17.182,13.000,1605.000,1244.000,,,1.152,
2019,365,1.000,1.000,0.000,0.000,20.816,25.431,17.988,7.444,3947.800,14.000,35.000,108.000,288.000,180.000,10.000,8.000,71.000,114.000,4.000,3041.000,199.000,172.000,78.000,12.000,244.000,539.500,17.602,12.000,2337.500,703.500,,,1.109,
2020,366,0.992,0.992,0.000,0.000,20.663,25.577,17.704,7.873,3887.400,16.000,43.000,120.000,313.000,193.000,21.000,15.000,105.000,122.000,3.000,2329.000,203.000,179.000,78.000,7.000,120.000,203.500,12.944,11.000,1212.500,1116.500,,,0.958,
2021,365,0.986,1.000,0.000,0.000,20.488,25.934,17.394,8.540,3794.400,31.000,47.000,86.000,294.000,208.000,31.000,25.000,84.000,145.000,0.000,3070.500,187.000,160.000,69.000,15.000,206.500,473.000,19.106,15.000,1859.000,1211.500,,,0.874,
2022,365,0.995,1.000,0.000,0.000,20.229,25.097,17.324,7.773,3725.200,27.000,59.000,112.000,334.000,222.000,24.000,24.000,68.000,117.000,1.000,4223.500,213.000,185.000,104.000,21.000,163.500,566.500,22.754,12.000,2132.000,2091.500,,,0.824,
2023,365,0.995,0.997,0.000,0.000,20.835,26.264,17.596,8.668,3948.200,14.000,41.000,122.000,315.000,193.000,36.000,22.000,72.000,136.000,3.000,2093.500,186.000,162.000,65.000,7.000,112.000,199.500,12.849,14.000,1218.500,875.000,,,0.763,
2024,366,0.926,0.989,0.000,0.000,20.791,,,,,,,88.000,319.000,231.000,,27.000,,,,2829.000,186.000,161.000,70.000,11.000,226.500,377.000,17.494,13.000,1607.500,1221.500,,,0.771,
2025,365,0.945,0.956,0.000,0.000,21.498,26.908,18.032,8.877,,38.000,60.000,106.000,296.000,190.000,41.000,26.000,104.000,161.000,41.000,2955.000,184.000,155.000,72.000,12.000,155.000,623.500,18.971,11.000,1526.000,,,,0.734,
2026,244,1.000,1.000,0.000,0.000,20.156,25.767,16.766,9.001,2495.600,36.000,56.000,99.000,,,30.000,22.000,74.000,72.000,0.000,2166.000,114.000,99.000,47.000,10.000,186.000,312.000,21.803,16.000,1927.000,239.000,,,0.560,
